company 会社。企業組織全般を指す。start a company（会社を起こす）、join a company（会社に入社する）などの表現でよく使用。大企業はcorporationとも。,company かいしゃ。きぎょうそしきぜんぱんをさす。start a company(かいしゃをおこす)、join a company(かいしゃににゅうしゃする)などのひょうげんでよくしよう。だいきぎょうはcorporationとも。
department 部門、課。会社の組織単位。sales department（営業部）、HR department（人事部）など。部署の規模によってdivision（事業部）という表現も。,department ぶもん、か。かいしゃのそしきたんい。sales department(えいぎょうぶ)、HR department(じんじぶ)など。ぶしょのきぼによってdivision(じぎょうぶ)というひょうげんも。
several いくつかの、数個の。2-3個以上を指すが、manyほど多くない数を示す。several times（何度か）、several people（数人）のように使用。,several いくつかの、すうこの。2-3こいじょうをさすが、manyほどおおくないかずをしめす。several times(なんどか)、several people(すうにん)のようにしよう。
available 利用可能な、入手できる。特に「～することができる」「手に入る」の意味で、available for use（使用可能）、not available now（現在利用不可）のように使用。在庫や時間の有無を示すのに頻出。,available りようかのうな、にゅうしゅできる。とくに「~することができる」「てにいる」のいみで、available for use(しようかのう)、not available now(げんざいりようふか)のようにしよう。ざいこやじかんのうむをしめすのにひんしゅつ。
quite かなり、相当。程度を表す副詞で、veryよりもやや控えめな表現。quite good（かなり良い）、quite difficult（かなり難しい）など。完全を表すquite right（まったくその通り）という使い方も。,quite かなり、そうとう。ていどをあらわすふくしで、veryよりもややひかえめなひょうげん。quite good(かなりよい)、quite difficult(かなりむずかしい)など。かんぜんをあらわすquite right(まったくそのとうり)というつかいかたも。
board 会議体、取締役会。特にBoard of Directors（取締役会）として使用されることが多い。board meeting（役員会）、board member（役員）という表現も頻出。,board かいぎからだ、とりしまりやくかい。とくにBoard of Directors(とりしまりやくかい)としてしようされることがおおい。board meeting(やくいんかい)、board member(やくいん)というひょうげんもひんしゅつ。
likely 起こりそうな、ありそうな。可能性が高いことを示す。Very likely（可能性が非常に高い）、It is likely that...（～する可能性が高い）などと使用。probably と似た意味。,likely おこりそうな、ありそうな。かのうせいがたかいことをしめす。Very likely(かのうせいがひじょうにたかい)、It is likely that...(~するかのうせいがたかい)などとしよう。probably とにたいみ。
employee 従業員、社員。会社と雇用関係にある人を指す。new employee（新入社員）、employee benefits（従業員福利厚生）などの表現でよく使用。,employee じゅうぎょういん、しゃいん。かいしゃとこようかんけいにあるにんをさす。new employee(しんにゅうしゃいん)、employee benefits(じゅうぎょういんふくりこうせい)などのひょうげんでよくしよう。
customer 顧客、お客様。商品やサービスを購入する人・組織を指す。customer service（顧客サービス）、regular customer（常連客）など。B2Bではclientということも。,customer こきゃく、おきゃくさま。しょうひんやさーびすをこうにゅうするにん・そしきをさす。customer service(こきゃくさーびす)、regular customer(じょうれんきゃく)など。B2Bではclientということも。
increase 増加させる、増える。数量や程度が増えることを表す動詞・名詞。sales increase（売上増加）、increase in price（価格上昇）など。反対語はdecrease。,increase ぞうかさせる、ふえる。すうりょうやていどがふえることをあらわすどうし・めいし。sales increase(うりあげぞうか)、increase in price(かかくじょうしょう)など。はんたいごはdecrease。
president 社長、学長、大統領。組織のトップを指す。企業ではcompany president、CEO（最高経営責任者）とも。,president しゃちょう、がくちょう、だいとうりょう。そしきのとっぷをさす。きぎょうではcompany president、CEO(さいこうけいえいせきにんしゃ)とも。
same 同じ、同一の。全く同じものを指す形容詞。the same as...（～と同じ）、at the same time（同時に）などとよく使用。,same おなじ、どういつの。まったくおなじものをさすけいようし。the same as...(~とおなじ)、at the same time(どうじに)などとよくしよう。
found 設立する、創立する。founded in [年]（～年に設立）のように会社や組織の設立を表現する際によく使用。創業者はfounder。,found せつりつする、そうりつする。founded in [ねん](~ねんにせつりつ)のようにかいしゃやそしきのせつりつをひょうげんするさいによくしよう。そうぎょうしゃはfounder。
advertisement 広告、宣伝。略してadとも。place an advertisement（広告を出す）、advertising campaign（広告キャンペーン）など。,advertisement こうこく、せんでん。りゃくしてadとも。place an advertisement(こうこくをだす)、advertising campaign(こうこくきゃんぺーん)など。
believe 信じる、確信する。I believe that...（～と思う）として個人の意見を述べる際によく使用。beliefは名詞形。,believe しんじる、かくしんする。I believe that...(~とおもう)としてこじんのいけんをのべるさいによくしよう。beliefはめいしかたち。
expensive 高価な、値段が高い。very expensive（とても高価な）、too expensive（高すぎる）などと程度を表す副詞とよく組み合わせる。反対語はcheap。ビジネスではcostly（コストがかかる）という表現も。,expensive こうかな、ねだんがたかい。very expensive(とてもこうかな)、too expensive(たかすぎる)などとていどをあらわすふくしとよくくみあわせる。はんたいごはcheap。びじねすではcostly(こすとがかかる)というひょうげんも。
due 納期の、期限の、予定された。特にdue date（締切日）、due to（～が原因で）という使い方が一般的。payment is due（支払期限が来ている）のような表現も頻出。,due のうきの、きげんの、よていされた。とくにdue date(しめきりび)、due to(~がげんいんで)というつかいかたがいっぱんてき。payment is due(しはらいきげんがきている)のようなひょうげんもひんしゅつ。
possible 可能な、実行できる。as soon as possible（できるだけ早く、略してASAP）、if possible（可能であれば）など、ビジネスでよく使用される表現の一部。impossible（不可能な）の反対語。,possible かのうな、じっこうできる。as soon as possible(できるだけはやく、りゃくしてASAP)、if possible(かのうであれば)など、びじねすでよくしようされるひょうげんのいちぶ。impossible(ふかのうな)のはんたいご。
secretary 秘書、書記。personal secretary（個人秘書）、secretary general（事務総長）など。現在はadministrative assistant（アシスタント）という表現もよく使用。,secretary ひしょ、しょき。personal secretary(こじんひしょ)、secretary general(じむそうちょう)など。げんざいはadministrative assistant(あしすたんと)というひょうげんもよくしよう。
amount 量、総額。large amount（多量）、amount of money（金額）など。可算名詞に対してはnumber、不可算名詞に対してはamountを使用。total amount（合計額）という表現も一般的。,amount りょう、そうがく。large amount(たりょう)、amount of money(きんがく)など。かさんめいしにたいしてはnumber、ふかさんめいしにたいしてはamountをしよう。total amount(ごうけいがく)というひょうげんもいっぱんてき。
university 大学。at university（英）、in university（米）で「大学在学中」を表す。university degree（大学の学位）、university education（大学教育）などの表現でも使用。,university だいがく。at university(えい)、in university(こめ)で「だいがくざいがくちゅう」をあらわす。university degree(だいがくのがくい)、university education(だいがくきょういく)などのひょうげんでもしよう。
however しかし、だけれども。文頭、文中、文末で使える接続語。However、 ...（しかしながら）として逆説を示す際によく使用。but よりもフォーマルな印象。,however しかし、だけれども。ぶんとう、ぶんちゅう、ぶんまつでつかえるせつぞくご。However、 ...(しかしながら)としてぎゃくせつをしめすさいによくしよう。but よりもふぉーまるないんしょう。
survey 調査、アンケート。conduct a survey（調査を実施する）、market survey（市場調査）、customer survey（顧客調査）など、ビジネスでは重要な用語。動詞としても使用。,survey ちょうさ、あんけーと。conduct a survey(ちょうさをじっしする)、market survey(しじょうちょうさ)、customer survey(こきゃくちょうさ)など、びじねすではじゅうようなようご。どうしとしてもしよう。
own 自身の、所有する。my own company（私自身の会社）、own brand（自社ブランド）など。on one's ownで「一人で」という意味にも。,own じしんの、しょゆうする。my own company(わたしじしんのかいしゃ)、own brand(じしゃぶらんど)など。on one's ownで「ひとりで」といういみにも。
current 現在の、最新の。current situation（現状）、current price（現在の価格）など。「現在」を強調する際によく使用される形容詞。,current げんざいの、さいしんの。current situation(げんじょう)、current price(げんざいのかかく)など。「げんざい」をきょうちょうするさいによくしようされるけいようし。
though ～だけれども。althoughよりもカジュアルな表現。文末で使用すると「でも」というニュアンス。even though（～であっても）という強調表現としても。,though ~だけれども。althoughよりもかじゅあるなひょうげん。ぶんまつでしようすると「でも」というにゅあんす。even though(~であっても)というきょうちょうひょうげんとしても。
quality 品質、質。high quality（高品質）、quality control（品質管理）、quality assurance（品質保証）など、ビジネスで重要な概念を表す際に使用。,quality ひんしつ、しつ。high quality(こうひんしつ)、quality control(ひんしつかんり)、quality assurance(ひんしつほしょう)など、びじねすでじゅうようながいねんをあらわすさいにしよう。
purchase 購入する、購入。buyよりもフォーマルな表現。purchase order（発注書）、purchase price（購入価格）など、ビジネス用語として頻出。,purchase こうにゅうする、こうにゅう。buyよりもふぉーまるなひょうげん。purchase order(はっちゅうかき)、purchase price(こうにゅうかかく)など、びじねすようごとしてひんしゅつ。
kind 親切な、種類の。形容詞として「親切な」、名詞として「種類」の意味で使用。be kind to（～に親切にする）、all kinds of（あらゆる種類の）などの表現。,kind しんせつな、しゅるいの。けいようしとして「しんせつな」、めいしとして「しゅるい」のいみでしよう。be kind to(~にしんせつにする)、all kinds of(あらゆるしゅるいの)などのひょうげん。
probably おそらく、多分。確実ではないが可能性が高いことを示す副詞。most probably（おそらく）、will probably（おそらく～だろう）など、予測を述べる際によく使用。,probably おそらく、たぶん。かくじつではないがかのうせいがたかいことをしめすふくし。most probably(おそらく)、will probably(おそらく~だろう)など、よそくをのべるさいによくしよう。
purpose 目的、意図。for the purpose of（～の目的で）、on purpose（故意に）という表現がよく使用される。main purpose（主な目的）、business purpose（業務目的）などビジネスでも重要な用語。,purpose もくてき、いと。for the purpose of(~のもくてきで)、on purpose(こいに)というひょうげんがよくしようされる。main purpose(おもなもくてき)、business purpose(ぎょうむもくてき)などびじねすでもじゅうようなようご。
although ～だけれども、～にもかかわらず。thoughよりもフォーマルな接続詞。Although the price is high、 the quality is excellent.（価格は高いものの、品質は優れている）のように使用。,although ~だけれども、~にもかかわらず。thoughよりもふぉーまるなせつぞくし。Although the price is high、 the quality is excellent.(かかくはたかいものの、ひんしつはまされている)のようにしよう。
mention 言及する、述べる。as mentioned above（上述の通り）、worth mentioning（言及する価値がある）など、特にビジネス文書でよく使用。not to mention（～は言うまでもなく）という慣用句も。,mention げんきゅうする、のべる。as mentioned above(じょうじゅつのとうり)、worth mentioning(げんきゅうするかちがある)など、とくにびじねすぶんしょでよくしよう。not to mention(~はいうまでもなく)というかんようくも。
present 現在の、出席している、提示する。形容詞、動詞として多様な使い方がある。at present（現在）、present situation（現状）、present a proposal（提案を行う）など。,present げんざいの、しゅっせきしている、ていじする。けいようし、どうしとしてたようなつかいかたがある。at present(げんざい)、present situation(げんじょう)、present a proposal(ていあんをおこなう)など。
important 重要な、大切な。very important（非常に重要な）、important customer（重要顧客）、important meeting（重要な会議）など。importanceは名詞形。,important じゅうような、たいせつな。very important(ひじょうにじゅうような)、important customer(じゅうようこきゃく)、important meeting(じゅうようなかいぎ)など。importanceはめいしかたち。
complete 完了する、完全な。complete the task（タスクを完了する）、complete set（完全なセット）など。completion（完了）という名詞形でもよく使用。,complete かんりょうする、かんぜんな。complete the task(たすくをかんりょうする)、complete set(かんぜんなせっと)など。completion(かんりょう)というめいしかたちでもよくしよう。
enough 十分な、十分に。good enough（十分良い）、not enough time（時間が足りない）など。数量や程度が満足できるレベルに達していることを示す。,enough じゅうぶんな、じゅうぶんに。good enough(じゅうぶんよい)、not enough time(じかんがたりない)など。すうりょうやていどがまんぞくできるれべるにたっしていることをしめす。
least 最も少ない、最小の。at least（少なくとも）、the least expensive（最も安価な）など。最上級を表す際に使用。last but not least（最後だが重要な）という慣用句も。,least もっともすくない、さいしょうの。at least(すくなくとも)、the least expensive(もっともあんかな)など。さいじょうきゅうをあらわすさいにしよう。last but not least(さいごだがじゅうような)というかんようくも。
passenger 乗客、旅客。passenger seat（助手席）、passenger train（旅客列車）など。航空業界では特に重要な用語で、passenger services（旅客サービス）などの表現。,passenger じょうきゃく、りょきゃく。passenger seat(じょしゅせき)、passenger train(りょきゃくれっしゃ)など。こうくうぎょうかいではとくにじゅうようなようごで、passenger services(りょきゃくさーびす)などのひょうげん。
state 述べる、状態、州。動詞として「述べる」、名詞として「状態」や「州（米国の）」を意味する。state of affairs（事態）、as stated in（～に述べられている通り）など。,state のべる、じょうたい、しゅう。どうしとして「のべる」、めいしとして「じょうたい」や「しゅう(べいこくの)」をいみする。state of affairs(じたい)、as stated in(~にのべられているとうり)など。
various 様々な、多様な。various kinds（様々な種類）、various ways（様々な方法）など。多様性を示す際によく使用される形容詞。varietyは関連する名詞。,various さまざまな、たような。various kinds(さまざまなしゅるい)、various ways(さまざまなほうほう)など。たようせいをしめすさいによくしようされるけいようし。varietyはかんれんするめいし。
allow 許可する、可能にする。allow to（～することを許可する）、allowing for（～を考慮に入れて）など。allowance（手当、許容）という名詞形もビジネスで重要。,allow きょかする、かのうにする。allow to(~することをきょかする)、allowing for(~をこうりょにいれて)など。allowance(てあて、きょよう)というめいしかたちもびじねすでじゅうよう。
appear 現れる、～のように見える。appear to be（～のように見える）、make an appearance（姿を見せる）など。appearance（外観、出現）という名詞形も。,appear あらわれる、~のようにみえる。appear to be(~のようにみえる)、make an appearance(すがたをみせる)など。appearance(がいかん、しゅつげん)というめいしかたちも。
furniture 家具。不可算名詞なので、a piece of furniture（一つの家具）という表現を使う。office furniture（オフィス家具）、furniture maker（家具メーカー）など。,furniture かぐ。ふかさんめいしなので、a piece of furniture(ひとつのかぐ)というひょうげんをつかう。office furniture(おふぃすかぐ)、furniture maker(かぐめーかー)など。
almost ほとんど、もう少しで。almost finished（ほぼ完了）、almost all（ほとんどすべて）など。nearlyと同様の意味で使用。,almost ほとんど、もうすこしで。almost finished(ほぼかんりょう)、almost all(ほとんどすべて)など。nearlyとどうようのいみでしよう。
government 政府。local government（地方自治体）、government official（政府職員）など。略してgovtとも表記。,government せいふ。local government(ちほうじちたい)、government official(せいふしょくいん)など。りゃくしてgovtともひょうき。
throughout 至るところに、～を通じて。throughout the year（年間を通じて）、throughout the country（国中で）など、広範囲や全期間を示す。,throughout いたるところに、~をつうじて。throughout the year(ねんかんをつうじて)、throughout the country(くにじゅうで)など、こうはんいやぜんきかんをしめす。
contract 契約、契約する。sign a contract（契約を結ぶ）、contract terms（契約条件）など、ビジネスで非常に重要な用語。contractor（請負業者）という関連語も。,contract けいやく、けいやくする。sign a contract(けいやくをむすぶ)、contract terms(けいやくじょうけん)など、びじねすでひじょうにじゅうようなようご。contractor(うけおいぎょうもの)というかんれんごも。
budget 予算、予算を組む。within budget（予算内で）、budget constraints（予算制約）など。動詞として「予算を立てる」の意味でも使用。,budget よさん、よさんをくむ。within budget(よさんないで)、budget constraints(よさんせいやく)など。どうしとして「よさんをたてる」のいみでもしよう。
equipment 装置、設備、機器。不可算名詞。office equipment（オフィス機器）、computer equipment（コンピュータ機器）など。piece of equipmentで1つの機器を表す。,equipment そうち、せつび、きき。ふかさんめいし。office equipment(おふぃすきき)、computer equipment(こんぴゅーたきき)など。piece of equipmentで1つのききをあらわす。
consider ～を検討する、あるいは深く考慮すること。「考える」よりも熟考を意味し、意思決定や評価の際に用いられます。,consider ~をけんとうする、あるいはふかくこうりょすること。「かんがえる」よりもじゅっこうをいみし、いしけっていやひょうかのさいにもちいられます。
result 行動や出来事から生じる結果。意図されたものや予想外の結果も含みます。,result こうどうやできごとからしょうじるけっか。いとされたものやよそうがいのけっかもふくみます。
second 時間の単位で、1分の1/60。瞬時や短い間を示す際にも使われます。,second じかんのたんいで、1ふんの1/60。しゅんじやみじかいかんをしめすさいにもつかわれます。
prior 優先的、または何かに先立つという意味。時間的、または順序的に他のものよりも前であることを表します。,prior ゆうせんてき、またはなにかにさきだつといういみ。じかんてき、またはじゅんじょてきにほかのものよりもまえであることをあらわします。
entire 全体の、すべてを含む意味。完全な範囲や全体性を強調する際に使用されます。,entire ぜんたいの、すべてをふくむいみ。かんぜんなはんいやぜんたいせいをきょうちょうするさいにしようされます。
completely 完全に、または全ての面で。何も欠けることなく全体的に、という意味です。,completely かんぜんに、またはすべてのめんで。なにもかけることなくぜんたいてきに、といういみです。
vehicle 車両や乗り物の総称。車やトラック、バスなど、人や物を運ぶための移動手段を指します。,vehicle しゃりょうやのりもののそうしょう。くるまやとらっく、ばすなど、にんやものをはこぶためのいどうしゅだんをさします。
begin 開始する、何かを始めること。行動や出来事が始まる時点を意味します。,begin かいしする、なにかをはじめること。こうどうやできごとがはじまるじてんをいみします。
recent 最近、ここ数ヶ月や数年間を指し、現在に近い過去を表します。,recent さいきん、ここすうかげつやすうねんかんをさし、げんざいにちかいかこをあらわします。
