thousand,千、千の,せん、せんの
deploy,兵力や資源を展開、配置すること。,へいりょくやしげんをてんかい、はいちすること。
instrument,楽器、機器、道具。音楽を奏でる道具や、専門的な作業に使用する機械。,がっき、きき、どうぐ。おんがくをかなでるどうぐや、せんもんてきなさぎょうにしようするきかい。
recluse,世捨て人,よすててにん
clientele,顧客、常連客、得意先。,こきゃく、じょうれんきゃく、とくいさき。
angular,角のある、鋭い形状の。,かくのある、するどいけいじょうの。
constitutional,構成上の,こうせいじょうの
prejudice,偏見、先入観、差別,へんけん、せんにゅうかん、さべつ
sultry,蒸し暑い,むしあつい
despondent,落胆した,らくたんした
take heart,勢い付く、元気になる,いきおいつく、げんきになる
prevail,優勢になる、広まる,ゆうせいになる、ひろまる
manipulate,操る、巧みに扱うこと。,あやつる、たくみにあつかうこと。
discourage A from B,AがBするのをやめさせる,AがBするのをやめさせる
canny,抜け目のない,ぬけめのない
family,家族,かぞく
additionally,加えて、さらに、追加で,くわえて、さらに、ついかで
gourmet,高級な料理や食材,こうきゅうなりょうりやしょくざい
displace,ずらす、にとって代わる,ずらす、にとってかわる
rafter,垂木,たるき
cleave,割る,わる
tree,木,き
insure,事故や損失に備えて保険をかけること。,じこやそんしつにそなえてほけんをかけること。
claimant,申立人,もうしたてにん
car,自動車,じどうしゃ
gut,腸、大腸、小腸,ちょう、だいちょう、しょうちょう
fate,人の運命や宿命。,にんのうんめいやしゅくめい。
lose out to,に負ける、で死ぬ,にまける、でしぬ
restitution,返却,へんきゃく
sexist,男女差別主義者、男女間で不平等を支持する人、性差別主義者,だんじょさべつしゅぎしゃ、だんじょかんでふびょうどうをしじするにん、せいさべつしゅぎしゃ
anywhere,どこでも,どこでも
when it rains it pours,泣きっ面に蜂,なきっめんにはち
rub,こする、さする,こする、さする
embroider,刺繍する,ししゅうする
submitting,提出や申請を行っている状態。,ていしゅつやしんせいをいっているじょうたい。
absence,欠席。ある場所にいないこと、出席していないこと。,けっせき。あるばしょにいないこと、しゅっせきしていないこと。
crowd,群衆、人込み,ぐんしゅう、ひとごみ
interlude,間奏,かんそう
protocol,公式な儀礼や手続き、協定。,こうしきなぎれいやてつづき、きょうてい。
utilization,利用、使用,りよう、しよう
resplendent,華やかな,はなやかな
contamination,汚染、汚染物質,おせん、おせんぶっしつ
merchant,商人、貿易業者,しょうにん、ぼうえきぎょうしゃ
gaily,陽気に,ようきに
health,健康,けんこう
soak,液体に浸す、しみ込ませる,えきたいにひたす、しみこませる
tongue,言語または舌の器官。,げんごまたはしたのきかん。
aisle,通路、列の間の通り道。特に店舗や劇場などの座席間の通路。,つうろ、つらのまのとおりみち。とくにてんぽやげきじょうなどのざせきまのつうろ。
complexion,顔色、肌の色調,かおいろ、はだのしきちょう
rump,臀部,でんぶ
excel,勝る、優れる、上回る,まさる、まされる、うわまわる
default,初期設定、債務不履行,しょきせってい、さいむふりこう
horrify,怖がらせる、恐れさせる,こわがらせる、おそれさせる
safety,安全性。危険がない状態、または危険を回避するための措置を指します。,あんぜんせい。きけんがないじょうたい、またはきけんをかいひするためのそちをさします。
servile,奴隷の,どれいの
team spirit,チームの一体感,ちーむのいったいかん
from point of view,の視点から は,のしてんから は
beyond description,言葉では表現できないほど,ことばではひょうげんできないほど
peace,平和,へいわ
fig,イチジク,いちじく
humidity,湿度、湿気,しつど、しっけ
instead,代わりに、あるいはその代わりとして。何かを変更して別のものを選ぶことを意味します。,かわりに、あるいはそのかわりとして。なにかをへんこうしてべつのものをえらぶことをいみします。
completion,完了、終了。タスクや作業が最後まで終わること。,かんりょう、しゅうりょう。たすくやさぎょうがさいごまでおわること。
actually,実際に起こった現実の事。,じっさいにおこったげんじつのこと。
preponderance,優勢,ゆうせい
come before,の前に現れる、先立って現れる,のまえにあらわれる、さきだってあらわれる
overcast,曇った,くもった
fund-raising,募金活動、資金集め,ぼきんかつどう、しきんあつめ
in line with,に従って、一致して、合致して,にしたがって、いっちして、がっちして
unconscious,無意識の、潜在意識の,むいしきの、せんざいいしきの
replete,堪能した,たんのうした
perch,止まり木,どまりき
japan,日本(アジアの島国),にっぽん(あじあのしまくに)
crime,犯罪、違法行為,はんざい、いほうこうい
delayed,遅れた、延期された。,おくれた、えんきされた。
be afraid of,を恐れる,をおそれる
resilient,弾力性のある、柔軟な,だんりょくせいのある、じゅうなんな
mad,狂った、狂気じみた,くるった、きょうきじみた
prize,賞、報酬,しょう、ほうしゅう
concrete,具体的で明確な内容。,ぐたいてきでめいかくなないよう。
exact,何かが特定の基準に一致。,なにかがとくていのきじゅんにいっち。
stately,風格のある,ふうかくのある
suggest,を提案する、を示唆する。何かを行うことを提案したり、ある考えを思わせたりすること。,をていあんする、をしさする。なにかをおこなうことをていあんしたり、あるかんがえをおもわせたりすること。
sedentary,座りがちな,すわりがちな
decipher,解読する、暗号を解く,かいどくする、あんごうをとく
differential,差分の、差別的な,さぶんの、さべつてきな
crane,鶴、または建設用のクレーン。,つる、またはけんせつようのくれーん。
learn by heart,暗記する、体で覚える,あんきする、からだでおぼえる
velocity,速度,そくど
rant,怒鳴り立てる、大声で叫ぶ,どなりたてる、おおごえでさけぶ
hesitantly,躊躇して、もじもじして,ちゅうちょして、もじもじして
aberration,脱線行為、妨害行為,だっせんこうい、ぼうがいこうい
leap in,飛び込む、急上昇,とびこむ、きゅうじょうしょう
persist,固執する、継続する,こしつする、けいぞくする
stem,茎、幹、起源,くき、かん、きげん
immaculate,真っ白な、汚れのない,まっしろな、よごれのない
remarkable,目立った、際立った,めだった、きわたった
furnish A with B,AにBを備え付ける,AにBをそなえつける
conference,会議。多くの人が集まって話し合う正式な会議。,かいぎ。おおくのにんがあつまってはなしあうせいしきなかいぎ。
periscope,潜望鏡,せんぼうきょう
badly off,貧しい,まずしい
obsequious,へつらいの、こびへつらう,へつらいの、こびへつらう
rink,厳格な,げんかくな
aggressive,攻撃的な、侵略的な,こうげきてきな、しんりゃくてきな
what,なに,なに
fall out of favor with,に嫌われる、のお気に入りでなくなる,にきらわれる、のおきにいりでなくなる
nutrient,体に必要な栄養素、栄養分。,からだにひつようなえいようそ、えいようぶん。
nobility,尊さ、高貴さ,とーとさ、こうきさ
enough,十分な、十分に。,じゅうぶんな、じゅうぶんに。
ecological,生態系や環境に関連すること。,せいたいけいやかんきょうにかんれんすること。
Whom,目的格の関係代名詞「誰を」,もくてきかくのかんけいだいめいし「だれを」
gust,突風、突然の風,とっぷう、とつぜんのかぜ
recognition,認識、認知。物事を理解し、認めること。また、表彰や評価の意味も。,にんしき、にんち。ものごとをりかいし、みとめること。また、ひょうしょうやひょうかのいみも。
plaintive,哀れな、かわいそうな,あわれな、かわいそうな
borrow,を借りる、を借用する,をかりる、をしゃくようする
sprout,芽、新芽,め、しんめ
ailing,病んでいる,やんでいる
rest on,に基づく、に頼る,にもとづく、にたよる
posh,豪華な,ごうかな
stand by,そばに立つ,そばにたつ
bereft,奪われた、失った,うばわれた、うった
predecessor,前任者、先任者,ぜんにんしゃ、せんにんもの
lake,湖,みずうみ
workday,通常の業務が行われる日。,つうじょうのぎょうむがおこなわれるにち。
employ,採用する、雇う、仕事を与える。,さいようする、やとう、しごとをあたえる。
reasonable,合理的な。現実的で無理のない判断や価格などを指します。,ごうりてきな。げんじつてきでむりのないはんだんやかかくなどをさします。
take place,発生する。,はっせいする。
immediate,即時の、直ちの。時間的な遅れがなく、すぐに行われること。,そくじの、ただちの。じかんてきなおくれがなく、すぐにおこなわれること。
customary,慣習的な、伝統的な,かんしゅうてきな、でんとうてきな
irrepressible,抑えきれない,おさえきれない
provoke,故意に相手を怒らせたり挑発する。,こいにあいてをいからせたりちょうはつする。
blast off,発射される、打ち上げられる,はっしゃされる、うちあげられる
up,上へ,うえへ
demotion,降格,こうかく
grow up,成長する,せいちょうする
diffident,自信のない,じしんのない
avarice,貪欲,どんよく
trim,整える、刈り込む、飾る,ととのえる、かりこむ、かざる
reduced,削減した、少なくした。,さくげんした、すくなくした。
look out,気を付ける,きをつける
torpedo,魚雷,ぎょらい
underlying,基礎となる、根本的な、表面下にある。,きそとなる、こんぽんてきな、ひょうめんしたにある。
fabrication,製作,せいさく
breach,違反、破る,いはん、やぶる
antigen,抗原,こうげん
cheat on,でずるをする、裏切る,でずるをする、うらぎる
vote counting,開票,かいひょう
fall into,に属する、分類される,にぞくする、ぶんるいされる
obedience,従順さ、服従,じゅうじゅんさ、ふくじゅう
walk,散歩,さんぽ
attach,を貼り付ける、を貼る,をはりつける、をはる
diligence,勤勉、注意深さ,きんべん、ちゅういふかさ
tell,伝える,つたえる
life expectancy,余命、残りの寿命,よめい、のこりのじゅみょう
dress up,着飾る,きかざる
fulfill,実現する、達成する,じつげんする、たっせいする
sanction,認可、許可,にんか、きょか
nourish,栄養を与える、育てる,えいようをあたえる、そだてる
devotee,信者,しんじゃ
diatribe,痛烈な非難,つうれつなひなん
throw,投げる,なげる
sequence,連続、連鎖的な流れ,れんぞく、れんさてきなながれ
william,男性名、格式高い,だんせいめい、かくしきたかい
molest,悩ます、困らせる,なやます、こまらせる
virtual,仮想の、仮想世界の,かそうの、かそうせかいの
fetus,胎児、胎子,たいじ、たいこ
jot,わずか、微量,わずか、びりょう
overtly,あからさまに,あからさまに
have a clue,手がかりがある、見当がつく,てがかりがある、けんとうがつく
elaboration,精巧さ,せいこうさ
clip,切る、切り取る・クリップ,きる、きりとる・くりっぷ
seclusion,隔離、分離,かくり、ぶんり
new,新しい,あたらしい
flinch,尻込みする、躊躇する,しりごみする、ちゅうちょする
in the past,過去に,かこに
blend,複数のものを調和よく混ぜる,ふくすうのものをちょうわよくまぜる
got,得た,えた
until next time,また次回まで,またじかいまで
axe,斧、戦斧,おの、せんぷ
suggested,提案した。何かを行うことを提案すること。,ていあんした。なにかをおこなうことをていあんすること。
spoilage,腐敗、劣化、損傷,ふはい、れっか、そんしょう
hiccup,しゃっくり,しゃっくり
investment,投資、出資。将来の利益を期待して資金や資源を投じること。,とうし、しゅっし。しょうらいのりえきをきたいしてしきんやしげんをとうじること。
affirmative,断定的な、肯定的な,だんていてきな、こうていてきな
garish,飾り立てた,かざりたてた
raise,を上げる、持ち上げる,をあげる、もちあげる
serviceman,軍人,ぐんじん
bulk,大量、かさ、容積,たいりょう、かさ、ようせき
the early bird catches the worm,早起きが成功の鍵,はやおきがせいこうのかぎ
antidote,解毒剤、毒を中和する物質、解毒薬,げどくざい、どくをちゅうわするぶっしつ、げどくくすり
not so much A as B,AというよりもむしろB,AというよりもむしろB
transmit A to B,AをBに伝染させる、感染させる,AをBにでんせんさせる、かんせんさせる
in parallel,並行して、並んで,へいこうして、ならんで
sympathize,他人の感情に寄り添う。,たにんのかんじょうによりそう。
level out,平らげる、平らにする,たいらげる、たいらにする
momentarily,瞬時に、一瞬で,しゅんじに、いっしゅんで
visible,目で見える、明らかな、顕著な。,めでみえる、あきらかな、けんちょな。
weapon,戦闘用の武器、兵器,せんとうようのぶき、へいき
farewell,別れ、さよならの挨拶。,わかれ、さよならのあいさつ。
efficacy,効能、効果,こうのう、こうか
juggernaut,押し寄せる大勢力、圧倒的な力,おしよせるだいせいりょく、あっとうてきなちから
deprive,奪う、必要なものを取ること。,うばう、ひつようなものをとること。
the week before last,先々週,せんせんしゅう
stair,階段,かいだん
lobbying,ロビー活動。政策決定に影響を与えようとする働きかけ。,ろびーかつどう。せいさくけっていにえいきょうをあたえようとするはたらきかけ。
scaffolding,建設現場の足場、支援,けんせつげんばのあしば、しえん
scope,範囲、特定の領域や余地。,はんい、とくていのりょういきやよち。
sell,を売る,をうる
measure,措置、測るもの・を測る,そち、はかるもの・をはかる
section,部門、特定の範囲や領域。,ぶもん、とくていのはんいやりょういき。
come away,から離れていく、遠ざかる,からはなれていく、とおざかる
dominance,支配,しはい
appease,なだめる、鎮める,なだめる、つつしめる
coalition,連立、連合体,れんりつ、れんごうたい
dutiful,忠実な、従順な,ちゅうじつな、じゅうじゅんな
temperance,節制、禁酒,せっせい、きんしゅ
reserve,予約する、取っておく、確保する。,よやくする、とっておく、かくほする。
mourn,悲しむ、死を悼む,かなしむ、しをいたむ
hatch,ふ化する,ふかする
implemented,実装された、導入された,じっそうされた、どうにゅうされた
miser,守銭奴、欲張り,しゅせんど、よくばり
democracy,民主主義、政治体制,みんしゅしゅぎ、せいじたいせい
impend,差し迫った,さしせまった
megan,女性名、若者に人気,じょせいめい、わかものににんき
human being,人間,にんげん
imagination,想像、仮想,そうぞう、かそう
try to,しようとする,しようとする
associate with,と関連付ける、を関連させる,とかんれんづける、をかんれんさせる
envision,未来や状況を想像すること、思い描く。,みらいやじょうきょうをそうぞうすること、おもいえがく。
statutory,法令で定められた,ほうれいでさだめられた
afflict,を苦しめる、悩ます,をくるしめる、なやます
scornful,さげずんだ、軽蔑する,さげずんだ、けいべつする
emigrant,移民、移住者,いみん、いじゅうしゃ
fatality,死者、災害、犠牲者,ししゃ、さいがい、ぎせいしゃ
genteel,上品な、優雅な,じょうひんな、ゆうがな
physics,物理学、自然科学の基礎,ぶつりがく、しぜんかがくのきそ
jail,刑務所、拘置所,けいむしょ、こうちしょ
ear,耳,みみ
incredulous,疑い深い,うたがいぶかい
spoil,台無しにする、損なう,だいなしにする、そこなう
deathbed,臨終,りんじゅう
comb,くし,くし
understood,理解した,りかいした
give off,を放つ、放出する、発散する,をほうっつ、ほうしゅつする、はっさんする
refer,言及する、述べる。ある事柄について言及したり、参照したりすること。,げんきゅうする、のべる。あることがらについてげんきゅうしたり、さんしょうしたりすること。
tonight,今夜は,こんやは
altar,祭壇,さいだん
evergreen,常緑の,じょうりょくの
curiosity,知りたいという欲求。,しりたいというよっきゅう。
ever since,それ以来、それ以降,それいらい、それいこう
falter,ためらう、躊躇する,ためらう、ちゅうちょする
set at,評価する、設置する,ひょうかする、せっちする
loiter,ぶらぶら歩く,ぶらぶらあるく
script,脚本、原稿、文字体系,きゃくほん、げんこう、もじたいけい
inhabit,特定の場所に住んでいる、生息する。,とくていのばしょにすんでいる、せいそくする。
drink up,飲み干す、飲み尽くす,のみほす、のみつくす
permanent,永続的な、常設の状態。,えいぞくてきな、じょうせつのじょうたい。
international cooperation,国際協力。国家間での協力関係や共同の取り組み。,こくさいきょうりょく。こっかかんでのきょうりょくかんけいやきょうどうのとりくみ。
temporarily,一時的・暫定的に,いちじてき・ざんていてきに
keep up,保持する、維持する,ほじする、いじする
mockery,嘲り,あざけり
factory,商品を大量に生産するための工場や施設。,しょうひんをたいりょうにせいさんするためのこうじょうやしせつ。
conflict with,と相容れない、合わない,とあいいれない、あわない
ardent,熱心な、情熱的な,ねっしんな、じょうねつてきな
heterosexual,異性愛の,いせいあいの
medical,医療の、医学の、医薬の,いりょうの、いがくの、いやくの
exotic,異国情緒の、珍しい魅力を持つ。,いこくじょうちょの、めずらしいみりょくをもつ。
to be honest,正直に言うと、実を言うと,しょうじきにいうと、みをいうと
